fullArabicName,fullEnglishName,phoneNumber,email,isEmailConfirmed,investmentfields,investmentStage,idNumber,investmentLicenseNumber,profilePhoto,role,points,organization,jobTitle,availableBudget,currency,notification,description,recommendation_id,password
شهد رفعت الزهراني,Mary Nelson,97467561627,sandra63@example.com,FALSE,"['الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)', 'الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)']",Seed (مرحلة التأسيس والتمويل الأولي),XX23094985,INV9035008798,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,167,Smith-Watkins,Founder,674578,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",1,$2a$12$4lxleQormX4FCfHPb0slIe9sSEa4XTBPsN0htvgYXEhxCpyoStnzm
علي محمود السيد,Brandi Lewis,21287502090,scott46@example.org,TRUE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'السياحة والسفر والفنادق']",Seed (مرحلة التأسيس والتمويل الأولي),8.23E+13,INV8588440651,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,213,Knight-Harris,Director,554336,(EGP) جنيه مصري,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",2,$2a$12$C33EKQf4pZsUS3k/AQZnf.Tbq2ThjyoBx.Fl8VCssuVPMWgsMJ7/S
فاطمة توفيق الجبالي,Robin Yates,97459652295,rnguyen@example.net,TRUE,"['السياحة والسفر والفنادق', 'التطوير العقاري السكني والتجاري']",Seed (مرحلة التأسيس والتمويل الأولي),6.66E+13,INV0668367787,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,61,"Robinson, Sanchez and Miller",Managing Partner,875085,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",3,$2a$12$SPRnLctd08P4vZ5vyOMx/e0jJ4O7.k29EXcw3MrEvdz8NGTPtVUhC
سلمى خالد بركات,Barry Lopez,97138925579,johnreyes@example.org,FALSE,"['السياحة والسفر والفنادق', 'الرعاية الصحية الرقمية والتطبيب عن بُعد ']",Series B (التوسع والنمو السريع),2.44E+13,INV7782212210,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,300,Barton Ltd,Founder,593597,(EGP) جنيه مصري,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",4,$2a$12$hfE3anqt9jhq3K5ZxU56M.jRYM42Gf8yOn/Kn.LTAoOWdLgy4uO5y
مازن توفيق حسان,Elizabeth Ramsey,97182071594,byu@example.com,TRUE,"['تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني', 'الكفاءة الطاقية وحلول الاستدامة']",Late Stage / IPO (ما قبل الطرح العام),9.00E+13,INV4069332860,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,159,Jacobs Inc,CEO,596095,(AED) درهم إماراتي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",5,$2a$12$UyfiJUuk3X7ps7u6SZTSEesOM5xmBjZZpI.lJGhaVaEcSuB1oR0z.
جميلة وائل سالم,John Wilson,96112900822,aaroncox@example.org,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'السياحة والسفر والفنادق']",Seed (مرحلة التأسيس والتمويل الأولي),C9763711,INV9770955492,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,136,Tran-Tyler,CEO,378907,(EUR) يورو,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",6,$2a$12$iCpTuPCXbWfU4ErZ3eLMCeDNJJcwkZy/vmChH.I9lcGWOLKblmLQS
سارة عبد الله الطويل,James Stephenson,96274744442,michelle67@example.net,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Seed (مرحلة التأسيس والتمويل الأولي),V791617541,INV7086914829,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,178,Warner PLC,Founder,785299,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",7,$2a$12$Ko8R8771imx6eMwtSnarWe1wc3cVbEIXTfs1aAFvWQpcNPOh9yChm
سامي حسن الزهراني,Jacob Lopez,97187569208,nicoleperez@example.net,FALSE,"['تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Seed (مرحلة التأسيس والتمويل الأولي),1.52E+13,INV5101677208,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,221,Rojas-Cherry,Managing Partner,438298,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",8,$2a$12$KNOO/yKB3f.oXiXhsLU.reYc7vAYxhmhzr4vTaakrGKvbmXNUNtz.
يوسف مجدي منصور,Christian Wood,96612574827,stonejennifer@example.com,TRUE,"['الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)', 'السياحة والسفر والفنادق']",Late Stage / IPO (ما قبل الطرح العام),PI46027770,INV2397992697,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,167,Cunningham and Sons,CEO,769210,(EUR) يورو,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",9,$2a$12$MlaMg2ttDoDe8Cpn1DKCVO36ebws8Ze6noTf5G67/R4oRsRbcB/FK
مازن فؤاد الكومي,Sophia Lee,96150765496,millercourtney@example.org,TRUE,"['التطوير العقاري السكني والتجاري', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Seed (مرحلة التأسيس والتمويل الأولي),155971921,INV7279874693,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,116,Cruz Ltd,CEO,944111,(USD) دولار أمريكي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",10,$2a$12$l8tzbTe4NA3wiXCpyYuY5.IaVjnqnEmVxlW77KXe6DM5WK4F.LviW
